id,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
45,13397,Manhattan,Upper East Side,40.773847,-73.962096,Private room,169.77,7,64,2024-07-31,3.16,1,352
46,87518,Brooklyn,Greenpoint,40.663663,-73.979586,Private room,65.88,5,15,2024-08-13,2.93,1,310
47,68371,Manhattan,Lower East Side,40.809104,-74.017297,Entire home/apt,450.95,3,14,2023-10-02,1.66,1,22
48,60818,Brooklyn,Bushwick,40.752412,-73.976857,Private room,132.5,7,32,2023-01-23,0.96,1,356
49,63006,Brooklyn,Bushwick,40.673513,-73.975842,Entire home/apt,283.67,3,36,2024-08-20,1.45,1,183
50,18402,Manhattan,Chelsea,40.813958,-73.99582,Entire home/apt,289.02,7,31,2024-08-18,1.96,2,153
51,67647,Bronx,South Bronx,40.845387,-73.838428,Entire home/apt,61.76,14,28,2024-04-10,5.55,1,115
52,31656,Queens,Flushing,40.59932,-73.868492,Private room,106.46,2,18,2024-04-28,0.19,1,74
53,95312,Bronx,South Bronx,40.837391,-73.909133,Entire home/apt,97.65,5,17,2024-02-25,0.56,1,76
54,38786,Queens,Astoria,40.662953,-73.822889,Entire home/apt,82.59,30,7,2024-01-05,2.28,20,51
55,12904,Brooklyn,Crown Heights,40.717175,-73.964763,Entire home/apt,329.74,30,6,2023-11-19,0.79,1,188
56,5617,Bronx,South Bronx,40.898721,-73.914688,Private room,125.98,14,15,2024-08-03,1.67,1,271
57,4626,Manhattan,Lower East Side,40.758062,-73.932673,Entire home/apt,283.29,14,6,2024-08-26,0.21,1,348
58,73072,Manhattan,Hell Kitchen,40.769941,-73.997418,Entire home/apt,683.08,7,17,2023-08-03,1.85,1,147
59,65796,Manhattan,Chelsea,40.748259,-73.949698,Private room,149.36,14,15,2024-05-10,1.68,1,95
60,67049,Manhattan,Chelsea,40.776274,-73.976274,Entire home/apt,247.34,14,8,2022-12-03,1.32,1,251
61,97593,Manhattan,Chelsea,40.779916,-73.950941,Shared room,62.95,7,11,2024-04-18,2.17,1,72
62,98293,Manhattan,Midtown,40.779509,-73.924319,Shared room,155.91,2,45,2024-04-26,3.18,1,131
63,32293,Queens,Forest Hills,40.738901,-73.709957,Entire home/apt,105.4,1,12,2024-03-10,2.65,1,305
64,53278,Manhattan,Upper East Side,40.799205,-73.971929,Entire home/apt,386.48,2,18,2024-07-30,0.2,1,297
65,60652,Manhattan,Upper East Side,40.771361,-73.964561,Private room,115.14,7,23,2024-07-11,2.05,1,110
66,26975,Brooklyn,Bed-Stuy,40.708806,-73.978555,Entire home/apt,159.71,14,64,2023-07-04,0.9,1,137
67,81621,Manhattan,Tribeca,40.786427,-73.946476,Entire home/apt,434.88,14,6,2024-07-21,0.61,2,55
68,81068,Queens,Astoria,40.893796,-73.72655,Entire home/apt,123.69,30,43,2024-07-16,3.18,2,202
69,84905,Manhattan,Upper East Side,40.820355,-73.983787,Shared room,68.89,1,34,2024-04-26,1.23,1,321
70,26126,Staten Island,St. George,40.614594,-74.096659,Entire home/apt,156.06,14,6,2024-03-01,1.04,1,219
71,67710,Queens,Forest Hills,40.656493,-73.833747,Private room,136.4,3,6,2024-09-01,2.3,1,189
72,77027,Manhattan,Tribeca,40.817858,-73.990702,Private room,186.36,5,10,2024-05-15,1.21,1,139
73,7641,Manhattan,Tribeca,40.756277,-73.94064,Entire home/apt,221.64,30,15,2024-06-02,2.93,1,39
74,55677,Queens,Jamaica,40.823941,-73.76033,Entire home/apt,117.4,1,10,2023-09-06,0.16,2,300
75,26500,Brooklyn,Crown Heights,40.675457,-73.970511,Hotel room,148.68,3,10,2023-10-08,2.25,1,247
76,52955,Brooklyn,Bed-Stuy,40.695117,-73.849412,Entire home/apt,218.3,14,66,2023-07-04,0.27,1,225
77,26739,Queens,Flushing,40.747285,-73.621543,Private room,48.5,30,6,2023-10-05,0.38,1,35
78,15348,Manhattan,Tribeca,40.765141,-73.971594,Entire home/apt,384.59,7,4,2023-11-28,0.3,1,309
79,91745,Manhattan,Upper East Side,40.775639,-73.992903,Entire home/apt,298.02,1,9,2023-09-15,0.41,1,38
80,14191,Manhattan,Tribeca,40.780038,-73.962853,Entire home/apt,144.99,2,64,2024-07-29,1.97,1,320
81,82517,Queens,Flushing,40.770138,-73.621264,Entire home/apt,99.31,14,10,2024-06-18,1.6,1,11
82,38015,Brooklyn,Greenpoint,40.706068,-73.875192,Entire home/apt,156.94,5,20,2024-02-07,0.39,1,253
83,97475,Manhattan,Midtown,40.784422,-73.937639,Private room,139.86,14,29,2023-05-29,0.47,1,0
84,51980,Manhattan,Tribeca,40.831069,-73.960578,Entire home/apt,613.19,30,9,2024-02-17,0.16,1,83
85,64834,Manhattan,Hell Kitchen,40.763247,-73.982176,Entire home/apt,316.79,2,9,2024-07-22,0.8,1,163
86,9867,Manhattan,Harlem,40.788739,-73.96207,Entire home/apt,205.75,2,29,2023-03-31,0.71,1,165
87,65072,Brooklyn,Bushwick,40.720106,-73.916588,Private room,104.86,5,14,2023-12-19,0.24,1,258
88,71670,Brooklyn,Bushwick,40.678619,-73.982372,Entire home/apt,166.78,2,17,2024-01-19,2.7,1,177
89,84258,Queens,Jamaica,40.760291,-73.646501,Private room,81.99,7,41,2023-12-18,2.87,1,172
90,51651,Brooklyn,Bushwick,40.739396,-73.912118,Entire home/apt,242.19,2,2,2024-02-21,0.17,1,147
91,15862,Manhattan,Midtown,40.803691,-73.978621,Entire home/apt,467.15,30,19,2024-08-28,0.46,20,237
92,24651,Brooklyn,Crown Heights,40.647704,-73.989067,Entire home/apt,190.14,7,17,2024-07-11,2.0,3,173
93,64317,Queens,Forest Hills,40.718177,-73.82866,Private room,138.69,2,0,,0.0,2,327
94,66168,Brooklyn,Bushwick,40.750696,-73.972719,Entire home/apt,276.08,14,10,2023-02-15,0.11,2,138
95,56189,Queens,Flushing,40.663982,-73.639494,Entire home/apt,108.51,7,9,2024-07-02,3.49,1,363
96,85182,Brooklyn,Bed-Stuy,40.651117,-73.934988,Entire home/apt,464.72,1,7,2023-12-11,0.1,1,29
97,14531,Brooklyn,Park Slope,40.705279,-74.012402,Private room,109.41,7,5,2024-05-25,1.51,1,59
98,94776,Brooklyn,Bed-Stuy,40.752329,-73.905973,Entire home/apt,137.48,30,29,2023-07-01,0.03,1,179
99,5434,Manhattan,Midtown,40.814268,-73.984784,Entire home/apt,557.87,14,27,2024-04-08,3.95,1,19
100,76788,Manhattan,Chelsea,40.785083,-73.970413,Entire home/apt,661.21,5,34,2024-03-06,0.65,1,109
101,46548,Manhattan,Harlem,40.788378,-74.000292,Entire home/apt,284.22,2,12,2024-07-14,1.57,1,285
102,38420,Brooklyn,Park Slope,40.68485,-74.029788,Private room,78.48,14,3,2024-08-22,0.31,1,300
103,69385,Manhattan,Tribeca,40.790267,-74.013773,Private room,134.41,1,12,2023-12-22,0.58,1,203
104,79958,Brooklyn,Bed-Stuy,40.567105,-73.895087,Entire home/apt,255.54,2,18,2024-08-20,2.06,1,267
105,8055,Bronx,Mott Haven,40.817458,-73.914193,Entire home/apt,181.39,14,8,2024-01-15,5.42,2,294
106,61458,Manhattan,Tribeca,40.808517,-73.964647,Entire home/apt,361.82,7,13,2024-04-09,7.25,1,65
107,78244,Brooklyn,Greenpoint,40.730525,-73.954175,Entire home/apt,199.97,2,5,2023-10-29,2.49,1,214
108,56389,Queens,Astoria,40.94257,-73.843261,Entire home/apt,262.18,30,29,2024-07-22,2.82,1,175
109,94058,Manhattan,Tribeca,40.81799,-73.972427,Private room,127.06,14,9,2024-04-14,5.23,1,268
110,16674,Manhattan,Tribeca,40.75001,-73.961543,Shared room,122.34,3,13,2024-03-14,0.06,1,317
111,97383,Manhattan,Harlem,40.789395,-73.992226,Hotel room,192.49,1,35,2024-08-19,0.28,2,17
112,37243,Manhattan,Chelsea,40.764656,-73.971694,Private room,171.1,14,19,2024-01-04,0.08,1,146
113,5213,Bronx,Riverdale,40.862287,-73.988333,Private room,51.98,3,31,2024-06-05,1.04,1,154
114,11494,Queens,Long Island City,40.81245,-73.83446,Private room,70.41,2,15,2024-08-08,4.77,1,29
115,57991,Brooklyn,Williamsburg,40.598295,-73.887736,Entire home/apt,165.1,7,30,2024-06-05,1.31,1,128
116,58748,Queens,Astoria,40.726311,-73.697607,Private room,123.3,1,29,2024-08-14,1.22,2,135
117,5141,Queens,Astoria,40.763236,-73.795021,Entire home/apt,107.41,14,6,2023-08-04,2.63,1,62
118,19932,Manhattan,Harlem,40.780045,-73.961546,Entire home/apt,214.19,1,9,2024-05-15,3.97,1,149
119,89004,Queens,Jamaica,40.695117,-73.863106,Private room,168.18,30,8,2024-08-06,1.8,1,147
120,62936,Brooklyn,Bed-Stuy,40.714795,-73.952869,Entire home/apt,283.9,7,44,2024-07-11,3.39,3,333
121,27487,Queens,Flushing,40.730885,-73.70775,Entire home/apt,55.47,1,27,2024-01-13,0.29,1,141
122,56765,Queens,Flushing,40.71909,-73.793697,Shared room,32.3,30,19,2023-11-29,1.05,1,335
123,13998,Manhattan,Upper East Side,40.771107,-73.962585,Entire home/apt,139.51,14,7,2024-08-25,0.68,1,146
124,41297,Manhattan,Lower East Side,40.790097,-73.953184,Entire home/apt,196.9,7,24,2024-08-21,0.61,1,294
125,69809,Manhattan,Lower East Side,40.771517,-73.980356,Shared room,23.08,14,7,2023-06-11,0.36,3,92
126,57243,Brooklyn,Williamsburg,40.725728,-73.929067,Private room,90.88,3,7,2024-06-21,3.37,1,293
127,99895,Queens,Jamaica,40.655703,-73.690376,Private room,45.6,2,28,2024-07-25,0.9,5,305
128,97872,Queens,Astoria,40.592324,-73.732157,Entire home/apt,147.49,1,1,2024-08-09,1.13,1,25
129,96899,Manhattan,Tribeca,40.757796,-73.933484,Entire home/apt,150.34,1,38,2024-05-08,0.49,10,176
130,94523,Brooklyn,Greenpoint,40.585524,-73.875065,Private room,99.24,1,6,2023-12-11,4.94,1,99
131,39297,Brooklyn,Bed-Stuy,40.673302,-73.966196,Private room,81.32,3,3,2024-04-22,1.42,1,19
132,47077,Manhattan,Chelsea,40.786808,-73.958562,Entire home/apt,525.18,7,67,2024-08-29,0.0,2,360
133,81974,Manhattan,Upper East Side,40.765012,-73.987516,Entire home/apt,506.49,14,17,2024-05-05,0.47,1,152
134,84944,Manhattan,Harlem,40.796092,-74.005347,Entire home/apt,394.29,7,11,2024-06-26,11.0,1,135
135,31813,Bronx,Riverdale,40.815589,-73.712766,Shared room,26.85,3,18,2024-02-08,5.52,1,110
136,17139,Manhattan,Harlem,40.76374,-73.948244,Entire home/apt,637.22,2,16,2024-04-21,1.18,1,103
137,76902,Brooklyn,Crown Heights,40.643043,-73.913657,Private room,51.58,14,17,2023-01-05,1.25,5,127
138,3761,Brooklyn,Park Slope,40.717461,-73.876463,Entire home/apt,109.52,3,10,2024-03-21,3.48,1,20
139,94274,Manhattan,Harlem,40.779095,-73.931422,Private room,139.25,14,16,2024-03-05,1.85,1,202
140,10591,Staten Island,St. George,40.550033,-74.140831,Shared room,68.73,1,24,2024-04-22,4.04,1,174
141,50172,Bronx,Fordham,40.857064,-73.920898,Private room,50.17,2,27,2024-06-26,0.98,1,89
142,20510,Manhattan,Midtown,40.777383,-73.96797,Entire home/apt,267.65,5,17,2024-03-06,5.59,1,70
143,51063,Brooklyn,Park Slope,40.652273,-73.797745,Private room,53.92,30,10,2024-06-21,1.16,1,140
144,92172,Manhattan,Chelsea,40.766328,-73.947612,Private room,210.23,2,13,2024-01-18,1.55,1,239
145,37780,Manhattan,Upper East Side,40.800229,-73.971477,Entire home/apt,421.67,14,21,2024-07-15,0.13,1,87
146,96317,Manhattan,Tribeca,40.765796,-73.986565,Private room,197.44,3,35,2024-06-11,1.42,50,151
147,76046,Brooklyn,Bushwick,40.647122,-74.051344,Private room,74.64,14,21,2024-03-28,2.19,1,225
148,9872,Brooklyn,Bed-Stuy,40.617992,-74.033149,Shared room,40.7,30,15,2024-03-07,0.87,1,38
149,7421,Manhattan,Hell Kitchen,40.810018,-73.958831,Private room,85.85,1,40,2024-02-16,1.05,2,195
150,63000,Manhattan,Tribeca,40.798819,-73.959423,Entire home/apt,297.83,30,8,2024-01-29,0.75,1,83
151,46008,Bronx,South Bronx,40.853148,-73.791766,Entire home/apt,70.62,14,4,2024-06-25,5.21,1,204
152,42616,Manhattan,Upper East Side,40.770885,-73.969067,Entire home/apt,179.83,2,14,2023-07-28,0.97,1,56
153,21889,Manhattan,Tribeca,40.798041,-73.997624,Shared room,68.37,7,10,2024-08-27,0.2,1,310
154,69708,Brooklyn,Bed-Stuy,40.863995,-73.942486,Private room,78.94,2,42,2024-07-26,0.04,1,315
155,69389,Staten Island,Stapleton,40.586599,-74.099925,Private room,40.0,5,28,2024-08-19,2.22,1,308
156,2445,Manhattan,Lower East Side,40.801399,-73.970438,Entire home/apt,347.07,14,27,2024-02-14,1.19,1,356
157,54032,Brooklyn,Greenpoint,40.686008,-74.034449,Entire home/apt,198.17,14,9,2024-07-06,0.0,1,150
158,63076,Queens,Long Island City,40.683683,-73.753523,Private room,64.16,14,35,2024-07-24,0.72,1,171
159,51281,Manhattan,Hell Kitchen,40.791978,-73.946777,Entire home/apt,309.87,30,42,2024-05-07,3.68,1,76
160,91864,Brooklyn,Greenpoint,40.67097,-74.027437,Entire home/apt,129.14,2,14,2024-03-12,4.43,1,313
161,52010,Manhattan,Lower East Side,40.804235,-73.942478,Private room,150.19,30,15,2024-03-12,0.08,1,364
162,23131,Brooklyn,Greenpoint,40.732095,-73.954018,Entire home/apt,203.92,2,26,2024-04-08,0.2,2,163
163,74741,Brooklyn,Park Slope,40.740863,-73.738465,Entire home/apt,105.24,14,9,2022-04-17,0.01,1,55
164,54735,Brooklyn,Bushwick,40.685109,-74.022904,Entire home/apt,285.94,2,20,2023-09-13,3.05,20,168
165,37977,Manhattan,Upper East Side,40.771374,-73.95869,Entire home/apt,202.43,1,21,2024-07-14,0.11,1,74
166,60131,Queens,Forest Hills,40.599816,-73.781348,Hotel room,111.97,3,23,2023-12-21,0.17,1,143
167,12493,Manhattan,Upper East Side,40.790707,-73.940498,Entire home/apt,458.85,1,17,2024-04-03,0.39,1,331
168,63529,Manhattan,Hell Kitchen,40.809304,-73.953908,Entire home/apt,417.06,2,17,2024-08-19,3.74,1,272
169,72110,Manhattan,Tribeca,40.739846,-73.952779,Entire home/apt,291.98,7,19,2024-08-23,1.75,1,158
170,12941,Brooklyn,Williamsburg,40.720531,-73.928843,Private room,83.04,7,23,2023-11-17,1.44,1,199
171,44562,Brooklyn,Crown Heights,40.574387,-73.990806,Entire home/apt,280.48,7,23,2024-04-13,2.3,1,268
172,57566,Manhattan,Tribeca,40.759764,-74.0115,Private room,188.61,30,26,2024-04-02,1.77,5,150
173,55136,Brooklyn,Crown Heights,40.678025,-73.992069,Entire home/apt,149.93,2,36,2024-06-20,2.06,2,260
174,50917,Manhattan,Chelsea,40.835606,-73.974575,Entire home/apt,209.56,2,17,2023-05-11,0.11,1,258
175,53568,Brooklyn,Greenpoint,40.755825,-74.038346,Entire home/apt,83.81,5,17,2024-01-21,1.34,1,126
176,95844,Manhattan,Harlem,40.772498,-73.969262,Private room,153.15,5,17,2023-05-17,2.1,1,297
177,69089,Brooklyn,Williamsburg,40.623711,-73.969532,Shared room,52.24,30,8,2024-08-14,1.25,1,297
178,2580,Manhattan,Hell Kitchen,40.778741,-73.975878,Entire home/apt,453.7,3,33,2024-03-28,0.02,1,280
179,71117,Bronx,Riverdale,40.937556,-73.845889,Private room,62.8,2,9,2024-03-03,0.36,1,95
180,19942,Manhattan,Harlem,40.79269,-73.960407,Shared room,138.12,2,25,2024-08-08,4.94,1,79
181,59350,Manhattan,Midtown,40.795353,-73.972858,Entire home/apt,217.9,7,8,2024-06-17,1.83,20,74
182,17394,Manhattan,Lower East Side,40.776685,-73.967864,Private room,227.03,30,8,2024-07-20,1.75,1,151
183,8578,Bronx,Mott Haven,40.90264,-73.808488,Entire home/apt,88.05,5,12,2022-08-14,1.62,1,104
184,50012,Queens,Flushing,40.708968,-73.733473,Shared room,55.28,14,11,2024-04-13,0.21,1,87
185,38307,Manhattan,Tribeca,40.779208,-73.970523,Private room,80.34,14,36,2024-06-25,0.01,1,125
186,69003,Brooklyn,Bed-Stuy,40.649789,-73.955099,Shared room,59.33,1,8,2024-02-18,0.87,5,315
187,5024,Queens,Flushing,40.835506,-73.787506,Private room,32.55,5,7,2024-02-21,0.88,1,45
188,32500,Brooklyn,Crown Heights,40.686317,-74.031033,Entire home/apt,172.54,14,12,2024-06-17,2.51,1,337
189,14934,Brooklyn,Williamsburg,40.659645,-73.958679,Shared room,64.4,30,16,2022-02-26,0.3,1,64
190,6531,Manhattan,Midtown,40.766517,-73.970767,Entire home/apt,233.83,3,37,2023-11-09,0.48,1,139
191,5191,Manhattan,Hell Kitchen,40.774516,-73.9696,Entire home/apt,189.2,30,10,2024-06-01,0.12,1,86
192,56237,Queens,Jamaica,40.73792,-73.87136,Private room,101.0,1,20,2024-02-20,0.77,1,263
193,16762,Bronx,Fordham,40.824865,-73.860931,Private room,52.19,7,1,2024-01-22,0.44,1,352
194,7670,Brooklyn,Williamsburg,40.749258,-73.928797,Shared room,44.4,30,34,2024-07-29,0.46,3,267
195,40254,Manhattan,Upper East Side,40.769861,-73.96322,Entire home/apt,292.87,5,2,2023-08-20,0.44,1,80
196,4183,Manhattan,Chelsea,40.817251,-73.952866,Private room,413.43,14,16,2023-10-23,0.4,1,221
197,87551,Brooklyn,Crown Heights,40.711052,-73.900665,Private room,152.28,2,21,2023-12-23,0.58,3,358
198,50205,Queens,Flushing,40.843396,-73.70885,Entire home/apt,229.26,14,7,2024-07-18,1.15,1,234
199,43551,Queens,Long Island City,40.773541,-73.709409,Entire home/apt,171.41,30,10,2024-08-06,0.86,3,76
200,10449,Queens,Jamaica,40.641668,-73.915081,Entire home/apt,153.92,3,15,2024-07-28,0.1,1,124
201,37599,Brooklyn,Bed-Stuy,40.687626,-73.940079,Entire home/apt,73.63,3,52,2024-08-15,0.83,1,264
202,80278,Manhattan,Midtown,40.772222,-73.954683,Hotel room,164.63,1,30,2023-04-13,2.81,3,118
203,13547,Manhattan,Upper East Side,40.745843,-73.981895,Private room,118.82,1,21,2023-09-24,0.16,1,283
204,23689,Queens,Astoria,40.689404,-73.925804,Private room,34.01,30,29,2024-08-15,4.33,1,209
205,38042,Brooklyn,Bushwick,40.767884,-74.025752,Hotel room,90.64,3,35,2024-02-11,0.55,1,169
206,77006,Manhattan,Tribeca,40.771333,-73.95304,Entire home/apt,130.4,5,7,2024-07-13,0.02,1,288
207,76546,Manhattan,Midtown,40.796021,-73.993363,Private room,141.81,2,22,2024-08-29,0.44,3,301
208,57298,Brooklyn,Williamsburg,40.719149,-73.926813,Entire home/apt,266.4,7,1,2024-07-01,0.11,2,319
209,85718,Manhattan,Chelsea,40.829761,-73.963121,Private room,224.2,2,23,2024-05-20,1.25,1,64
210,66205,Manhattan,Chelsea,40.780275,-73.98833,Entire home/apt,339.98,30,10,2024-08-29,0.57,2,310
211,47991,Brooklyn,Crown Heights,40.633545,-73.993746,Shared room,36.73,30,12,2024-06-23,2.47,1,191
212,16967,Brooklyn,Crown Heights,40.760466,-73.943122,Entire home/apt,88.65,5,32,2024-01-29,1.98,1,121
213,38432,Brooklyn,Bed-Stuy,40.712115,-73.853345,Entire home/apt,95.08,1,16,2024-07-17,0.95,1,210
214,46114,Manhattan,Chelsea,40.735931,-73.945623,Private room,86.68,7,5,2024-05-05,1.23,1,3
215,12560,Brooklyn,Williamsburg,40.681524,-73.918097,Entire home/apt,134.55,2,12,2023-08-05,1.41,1,6
216,59028,Manhattan,Harlem,40.766532,-73.986302,Private room,135.09,2,8,2024-08-27,0.47,1,111
217,91978,Manhattan,Chelsea,40.792877,-73.923508,Entire home/apt,191.96,7,49,2023-11-29,0.23,1,330
218,29740,Brooklyn,Bushwick,40.738399,-73.868269,Private room,109.94,3,7,2024-06-06,0.71,1,92
219,86398,Brooklyn,Bushwick,40.66668,-73.980212,Entire home/apt,174.97,7,4,2024-04-14,0.15,1,252
220,26773,Queens,Flushing,40.665736,-73.833962,Entire home/apt,144.61,2,3,2024-07-16,0.57,1,263
221,48460,Brooklyn,Bushwick,40.555033,-73.987695,Entire home/apt,302.96,7,24,2024-03-30,1.21,1,300
222,37734,Brooklyn,Greenpoint,40.644579,-73.954721,Entire home/apt,119.75,14,16,2024-01-09,1.17,3,260
223,10779,Manhattan,Midtown,40.785735,-73.963951,Entire home/apt,340.51,2,24,2024-07-23,0.19,3,62
224,49333,Manhattan,Harlem,40.782801,-73.982829,Entire home/apt,286.39,14,8,2024-06-18,0.01,2,329
225,91996,Manhattan,Hell Kitchen,40.743833,-73.982706,Entire home/apt,252.03,5,7,2024-04-04,0.14,1,170
226,4104,Manhattan,Chelsea,40.763651,-73.961879,Entire home/apt,410.37,30,51,2024-05-27,0.06,2,87
227,50130,Staten Island,New Dorp,40.624964,-74.112657,Private room,70.5,14,28,2024-07-01,0.77,1,144
228,61344,Manhattan,Tribeca,40.798239,-73.973871,Shared room,55.47,30,17,2024-05-16,0.74,1,238
229,45194,Queens,Long Island City,40.686444,-73.854668,Entire home/apt,133.88,3,11,2024-07-02,0.41,1,330
230,27345,Brooklyn,Williamsburg,40.58775,-73.884689,Private room,107.43,7,10,2024-06-29,0.36,1,33
231,56221,Queens,Jamaica,40.714223,-73.894607,Private room,64.55,5,33,2024-03-16,0.76,1,343
232,13520,Brooklyn,Park Slope,40.628611,-73.996218,Entire home/apt,242.62,5,20,2024-05-08,0.14,1,263
233,74838,Brooklyn,Williamsburg,40.680781,-73.880152,Private room,107.43,30,9,2024-02-11,0.36,1,248
234,11725,Brooklyn,Bushwick,40.657321,-74.079352,Entire home/apt,399.62,3,0,,0.0,1,129
235,34493,Manhattan,Midtown,40.779316,-73.974324,Entire home/apt,156.15,1,24,2023-10-10,0.15,1,286
236,85967,Brooklyn,Park Slope,40.664705,-73.981848,Entire home/apt,182.82,7,4,2023-04-05,2.76,1,110
237,63519,Manhattan,Lower East Side,40.787449,-73.969877,Private room,100.12,14,19,2024-08-03,1.69,1,299
238,93481,Manhattan,Midtown,40.782603,-73.962947,Private room,183.36,3,6,2024-03-08,0.72,3,57
239,7024,Brooklyn,Bed-Stuy,40.65241,-73.973395,Entire home/apt,100.55,14,15,2024-03-28,0.24,5,255
240,92485,Manhattan,Tribeca,40.810702,-73.960013,Entire home/apt,330.79,30,11,2023-09-04,0.32,2,3
